"city","population","country","lat","lng"
"Al Qatif",98259,"Saudi Arabia",26.5654,50.0089
"Fasa",98061,"Iran",28.9383,53.6482
"Dar'a",97969,"Syria",32.6189,36.1021
"Karabuk",97481,"Turkey",41.2049,32.6277
"Al Muharraq",97458,"Bahrain",26.2572,50.6119
"Yasuj",96786,"Iran",30.6682,51.588
"Bolu",96629,"Turkey",40.7358,31.6061
"Jounieh",96315,"Lebanon",33.9808,35.6178
"Ceyhan",96303,"Turkey",37.0247,35.8175
"Kashmar",96151,"Iran",35.2383,58.4656
"Hurghada",95622,"Egypt",27.2574,33.8129
"Zaxo",95052,"Iraq",37.1487,42.6859
"Aqaba",95048,"Jordan",29.5267,35.0078
"As Salamiyah",94887,"Syria",35.0113,37.0532
"Dogonbadan",94638,"Iran",30.3586,50.7981
"Kazerun",94511,"Iran",29.6195,51.6541
"Ahar",94348,"Iran",38.4774,47.0699
"Kirsehir",94336,"Turkey",39.1458,34.1639
"Behshahr",93500,"Iran",36.6923,53.5526
"Polatli",93262,"Turkey",39.5771,32.1413
"Bafra",92944,"Turkey",41.5678,35.9069
"Rize",92772,"Turkey",41.0208,40.5219
"Zefta",92667,"Egypt",30.7142,31.2442
"Al Harithah",92395,"Iraq",30.5848,47.7611
"Eregli",92117,"Turkey",37.5133,34.0467
"Agri",92022,"Turkey",39.7194,43.0514
"Ercis",91915,"Turkey",39.0259,43.3596
"Marivan",91664,"Iran",35.5183,46.183
"Aligudarz",91041,"Iran",33.404,49.6918
"Nigde",91039,"Turkey",37.9658,34.6794
"Luleburgaz",90899,"Turkey",41.4039,27.3592
"'Amran",90792,"Yemen",15.6594,43.9439
"Tahta",90591,"Egypt",26.7693,31.5021
"Korfez",90580,"Turkey",40.767,29.7827
"Samalut",90465,"Egypt",28.3121,30.7101
"Alvand",90000,"Iran",36.1893,50.0643
"Tartouss",89457,"Syria",34.889,35.8866
"Saham",89327,"Oman",24.1722,56.8886
"Nusaybin",88977,"Turkey",37.0703,41.2146
"Salihli",88906,"Turkey",38.4826,28.1477
"Eregli",88848,"Turkey",41.2826,31.4181
"Modi'in Makkabbim Re'ut",88749,"Israel",31.8939,35.015
"Al Bahah",88419,"Saudi Arabia",20.0129,41.4677
"Kozan",88115,"Turkey",37.4552,35.8157
"Qorveh",87953,"Iran",35.1664,47.8056
"Yozgat",87881,"Turkey",39.82,34.8044
